id,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,log_prix,price_category,surface_par_chambre,mois_annonce
1692,1050000.0,Kénitra,La Ville Haute,120.0,3,2,13.864301674514206,Moyen,30.0,5
7881,750000.0,Casablanca,Belvédère,67.0,2,1,13.527829818844937,Moyen,22.333333333333332,5
6412,1550000.0,Rabat,Agdal,50.0,1,1,14.253766134056512,Luxe,25.0,5
4936,410000.0,Tanger,Moujahidine,52.0,2,1,12.923914877701906,Économique,17.333333333333332,5
4268,640000.0,Kénitra,Alliance,90.0,2,2,13.369225017834633,Moyen,30.0,5
6822,330000.0,Mohammedia,El Alia,54.0,2,1,12.706850963741102,Économique,18.0,5
419,930000.0,El Jadida,Hay Essalam,80.0,3,2,13.742940940397677,Moyen,20.0,5
5247,1290000.0,Casablanca,Bourgogne,107.0,2,2,14.070153551531353,Moyen,35.666666666666664,5
4533,1550000.0,Casablanca,Roches Noires,123.0,3,2,14.253766134056512,Luxe,30.75,5
6264,1250000.0,Kénitra,Maamora,102.0,3,2,14.038654909278163,Moyen,25.5,5
5042,1300000.0,Casablanca,Route D'Azemmour,90.0,2,2,14.077875591662238,Moyen,30.0,5
5081,2600000.0,Marrakech,Agdal,110.0,2,2,14.77102238760702,Luxe,36.666666666666664,5
4562,620000.0,Tanger,Moujahidine,62.0,2,2,13.3374763699232,Moyen,20.666666666666668,5
294,1500000.0,Casablanca,Maârif Extension,123.0,3,2,14.220976332738882,Moyen,30.75,5
8019,300000.0,Saidia,Toute La Ville,60.0,2,1,12.611541086966115,Économique,20.0,5
3816,740000.0,Marrakech,Hay Charaf,98.0,2,1,13.51440681653079,Moyen,32.666666666666664,5
7548,1420000.0,Casablanca,Belvédère,120.0,3,2,14.166168133802547,Moyen,30.0,5
8045,540000.0,Asilah,Toute La Ville,62.0,3,1,13.199326270390594,Moyen,15.5,5
6685,1000000.0,Casablanca,2 Mars,43.0,1,1,13.815511557963774,Moyen,21.5,5
1635,1490000.0,Tétouan,Autre Secteur,160.0,3,2,14.214287349062356,Moyen,40.0,5
5940,700000.0,El Mansouria,Toute La Ville,52.0,1,1,13.45883704259595,Moyen,26.0,5
7999,1260000.0,Marrakech,Semlalia,84.0,2,2,14.04662307257814,Moyen,28.0,5
2861,4000000.0,Casablanca,Aïn Diab,189.0,3,2,15.201805169084134,Luxe,47.25,5
1149,1050000.0,Casablanca,Hay Hassani,60.0,2,2,13.864301674514206,Moyen,20.0,5
3316,330000.0,Dar Bouazza,Toute La Ville,58.0,2,1,12.706850963741102,Économique,19.333333333333332,5
5773,1200000.0,Casablanca,Sidi Maarouf,118.0,3,2,13.997832948091215,Moyen,29.5,5
1851,900000.0,Kénitra,Maamora,121.0,3,1,13.710151153416941,Moyen,30.25,5
4756,2370000.0,Dar Bouazza,Toute La Ville,145.0,2,2,14.678400935052153,Luxe,48.333333333333336,5
6570,520000.0,Casablanca,Oulfa,56.0,2,2,13.161586013632684,Moyen,18.666666666666668,5
6194,2200000.0,Casablanca,Palmier,147.0,3,2,14.603968372873895,Luxe,36.75,5
2810,870000.0,Agadir,Hay Mohammadi,72.0,2,2,13.676249640055394,Moyen,24.0,5
439,660000.0,Marrakech,Amerchich,45.0,1,1,13.399996629152975,Moyen,22.5,5
2723,1378000.0,Tanger,Centre Ville,106.0,3,2,14.136144456244882,Moyen,26.5,5
1298,670000.0,Meknès,Autre Secteur,96.0,3,2,13.415034483903348,Moyen,24.0,5
5849,3750000.0,Casablanca,Racine,208.0,3,3,15.137266664613225,Luxe,52.0,5
4560,1000000.0,Casablanca,Sidi Maarouf,112.0,2,2,13.815511557963774,Moyen,37.333333333333336,5
5541,760000.0,El Jadida,Autre Secteur,106.0,4,2,13.541075028051122,Moyen,21.2,5
7986,1000000.0,Sidi Rahal,Toute La Ville,88.0,2,2,13.815511557963774,Moyen,29.333333333333332,5
7640,500000.0,Tanger,Autre Secteur,96.0,2,1,13.122365377402328,Économique,32.0,5
5275,1200000.0,Salé,Tabriquet,115.0,3,2,13.997832948091215,Moyen,28.75,5
7513,710000.0,Had Soualem,Toute La Ville,88.0,3,2,13.47302165746721,Moyen,22.0,5
4205,890000.0,Tanger,Jirrari,78.0,2,1,13.698977865303197,Moyen,26.0,5
1766,1930000.0,Casablanca,2 Mars,129.0,3,2,14.47303107901565,Luxe,32.25,5
1784,1690000.0,Casablanca,Centre Ville,189.0,3,2,14.340239678615058,Luxe,47.25,5
