id,titre,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,prix_par_m2,scraped_at
1,Appartement à vendre 78 m² à El Mansouria,940000.0,El Mansouria,Toute La Ville,78.0,2,2,12051.28,2026-05-07 14:31:06.348122
2,Appartement à vendre 61 m² à Marrakech,1530000.0,Marrakech,Guéliz,61.0,1,1,25081.97,2026-05-07 14:31:06.349272
3,Appartement à vendre 90 m² à Casablanca,1100000.0,Casablanca,Maarif,90.0,2,1,12222.22,2026-05-07 14:31:06.349516
4,rdc élevé France ville,1190000.0,Casablanca,Abdelmoumen,117.0,2,2,10170.94,2026-05-07 14:31:06.349718
5,Vaste Appartement de 197m² à 2 Mars,2700000.0,Casablanca,Mers Sultan,197.0,4,2,13705.58,2026-05-07 14:31:06.349900
6,Appartement Neuf Haut de Gamme en vente,780000.0,Kénitra,Val Fleury,90.0,1,1,8666.67,2026-05-07 14:31:06.350119
7,Appartement moderne à vendre,430000.0,Marrakech,Es Saada,60.0,2,1,7166.67,2026-05-07 14:31:06.350318
8,Appartement à vendre 92 m² à Marrakech,1820000.0,Marrakech,Victor Hugo,92.0,2,1,19782.61,2026-05-07 14:31:06.350490
9,Appartement à vendre 2 Mars,2120000.0,Casablanca,2 Mars,188.0,3,3,11276.6,2026-05-07 14:31:06.350655
10,Appartement à vendre 70 m² à Oujda,260000.0,Oujda,Route Jerada,70.0,2,1,3714.29,2026-05-07 14:31:06.350787
11,Appartement neuf à vendre 71 m² à Marrakech,460000.0,Marrakech,M'Hamid,71.0,3,2,6478.87,2026-05-07 14:31:06.350906
12,Appartement à vendre 154 m² à Marrakech,2475000.0,Marrakech,Route De Casablanca,154.0,3,3,16071.43,2026-05-07 14:31:06.351020
13,Appartement à vendre 80 m² à Oujda,260000.0,Oujda,Autre Secteur,80.0,2,1,3250.0,2026-05-07 14:31:06.351187
14,Magnifique appartement à vendre près du rond-point de l'aéroport Ibn Battouta,640000.0,Tanger,Autre Secteur,67.0,2,1,9552.24,2026-05-07 14:31:06.351304
15,Appartement à vendre à Harhoura,1900000.0,Temara,Harhoura,95.0,2,2,20000.0,2026-05-07 14:31:06.351416
16,Studio meublé à vendre à Asilah,350000.0,Tanger,Autre Secteur,47.0,1,1,7446.81,2026-05-07 14:31:06.351523
